agentType,id,name,image
person,megan-bowra-dean,Megan Bowra Dean,http://www.rabid.co.nz/assets/profiles/megan-sq-48b9b564b39b994ade5b7acb89c5f734.jpg
person,megan-salole,Megan Salole,http://static1.squarespace.com/static/5169f4a1e4b0fdc6c23ef665/t/531fc2d5e4b019b60a36e035/1394590574949/megan.jpg
person,michael-elwood-smith,Michael,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/003/827/large/Michael_waterfront_compressed.jpg?1366258373
person,mikey,Mikey Williams,http://gravatar.com/avatar/22ee24b84d0a2a9446fc9c0fe0652c46?s=512&d=identicon
person,milan,Milan Holzapfel,https://media.licdn.com/mpr/mpr/shrink_500_500/p/8/005/09a/1ca/171c54a.jpg
person,minh,Minh Nhat Ha,https://secure.gravatar.com/avatar/9ad30edff43316a917fdc37d71329a8f.png?d=none&r=pg&s=170
person,mix,Mix Irving,http://www.gravatar.com/avatar/3c74b184677ec92d495b328105aed1dc.png
person,nanz,Nanz Nair,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/002/685/large/photo.jpeg?1417128452
person,mj-kaplan,MJ,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/005/693/large/Swearer_140421_1710.jpg?1429795564
person,neva-poletti,Neva Poletti,https://lh3.googleusercontent.com/-UZ4rJVCvOuw/AAAAAAAAAAI/AAAAAAAAAI0/lMkDce_2yz8/photo.jpg
person,nicola,Nicola Rankin,https://loomio-attachments.s3.amazonaws.com/users/uploaded_avatars/000/003/272/large/Photo_on_24-03-14_at_9.21_AM__4.jpg?1396254523
person,nina-atkinson,Nina Atkinson,https://d3n8a8pro7vhmx.cloudfront.net/actionstation/pages/104/attachments/original/1431904760/AS_Nina_resized.png?1431904760
person,patrick,Patrick Corrieri,https://lh4.googleusercontent.com/-sbXdtdJVuTY/UwKytJCw6KI/AAAAAAAAAE8/cDvuH3uEStM/s498-no/IMG_0114.JPG
person,paul-ingle,Paul Ingle,https://media.licdn.com/media/p/1/000/05e/05a/182215a.jpg
person,penny-hagen,Penny Hagen,https://media.licdn.com/mpr/mpr/shrinknp_400_400/p/5/005/082/036/2a69d82.jpg
person,pepper-curry,Pepper Curry,http://www.rabid.co.nz/assets/profiles/pepper-sq-66a2ca32f29350c3a36976146e5b5586.jpg
